"","Loc","Type","z"
"CME25A7812760Aligned.sortedByCoord.out.bam","P1_E15B_207_AV","ExMes_CS5",1
"CME25A7812757Aligned.sortedByCoord.out.bam","P1_E15B_207_AS","Tb_CS5",1
"CME25A7812756Aligned.sortedByCoord.out.bam","P1_E15B_207_AR","Tb_CS5",1
"CME25A7812753Aligned.sortedByCoord.out.bam","P1_E15B_207_AO","Tb_CS5",1
"CME25A7812750Aligned.sortedByCoord.out.bam","P1_E15B_207_AL","Tb_CS5",1
"CME25A7812751Aligned.sortedByCoord.out.bam","P1_E15B_207_AM","Tb_CS5",1
"CME25A7812752Aligned.sortedByCoord.out.bam","P1_E15B_207_AN","Tb_CS5",1
"CME25A7812748Aligned.sortedByCoord.out.bam","P1_E15B_207_AJ","Tb_CS5",1
"CME25A7812715Aligned.sortedByCoord.out.bam","P1_E15B_207_C","VE_CS5",1
"CME25A7812737Aligned.sortedByCoord.out.bam","P1_E15B_207_Y","Tb_CS5",1
"CME25A7812724Aligned.sortedByCoord.out.bam","P1_E15B_207_L","EmDisc_CS5",1
"CME25A7812730Aligned.sortedByCoord.out.bam","P1_E15B_207_R","SYS_CS5",1
"CME25A7812729Aligned.sortedByCoord.out.bam","P1_E15B_207_Q","SYS_CS5",1
"CME25A7812727Aligned.sortedByCoord.out.bam","P1_E15B_207_O","ExMes_CS5",1
"CME25A7812716Aligned.sortedByCoord.out.bam","P1_E15B_207_D","VE_CS5",1
"CME25A7812722Aligned.sortedByCoord.out.bam","P1_E15B_207_J","EmDisc_CS5",1
"CME25A7812723Aligned.sortedByCoord.out.bam","P1_E15B_207_K","EmDisc_CS5",1
"CME25A7812714Aligned.sortedByCoord.out.bam","P1_E15B_207_B","VE_CS5",1
"CME25A7812718Aligned.sortedByCoord.out.bam","P1_E15B_207_F","VE_CS5",1
"CME25A7812720Aligned.sortedByCoord.out.bam","P1_E15B_207_H","EmDisc_CS5",1
"CME25A7812721Aligned.sortedByCoord.out.bam","P1_E15B_207_I","EmDisc_CS5",1
"CME25A7812719Aligned.sortedByCoord.out.bam","P1_E15B_207_G","EmDisc_CS5",1
"CME25A7812705Aligned.sortedByCoord.out.bam","P1_E15B_193_AN","Tb_CS5",1
"CME25A7812708Aligned.sortedByCoord.out.bam","P1_E15B_193_AQ","Tb_CS5",1
"CME25A7812701Aligned.sortedByCoord.out.bam","P1_E15B_193_AJ","Tb_CS5",1
"CME25A7812704Aligned.sortedByCoord.out.bam","P1_E15B_193_AM","Tb_CS5",1
"CME25A7812702Aligned.sortedByCoord.out.bam","P1_E15B_193_AK","Tb_CS5",1
"CME25A7812700Aligned.sortedByCoord.out.bam","P1_E15B_193_AI","Tb_CS5",1
"CME25A7812695Aligned.sortedByCoord.out.bam","P1_E15B_193_AD","ExMes_CS5",1
"CME25A7812697Aligned.sortedByCoord.out.bam","P1_E15B_193_AF","Tb_CS5",1
"CME25A7812694Aligned.sortedByCoord.out.bam","P1_E15B_193_AC","Tb_CS5",1
"CME25A7812689Aligned.sortedByCoord.out.bam","P1_E15B_193_X","VE_CS5",1
"CME25A7812691Aligned.sortedByCoord.out.bam","P1_E15B_193_Z","Am_CS5",1
"CME25A7812687Aligned.sortedByCoord.out.bam","P1_E15B_193_V","EmDisc_CS5",1
"CME25A7812686Aligned.sortedByCoord.out.bam","P1_E15B_193_U","EmDisc_CS5",1
"CME25A7812680Aligned.sortedByCoord.out.bam","P1_E15B_193_O","Am_CS5_PGC",1
"CME25A7812685Aligned.sortedByCoord.out.bam","P1_E15B_193_T","Tb_CS5",1
"CME25A7812681Aligned.sortedByCoord.out.bam","P1_E15B_193_P","Am_CS5",1
"CME25A7812672Aligned.sortedByCoord.out.bam","P1_E15B_193_G","EmDisc_CS5",1
"CME25A7812679Aligned.sortedByCoord.out.bam","P1_E15B_193_N","Am_CS5",1
"CME25A7812676Aligned.sortedByCoord.out.bam","P1_E15B_193_K","SYS_CS5",1
"CME25A7812670Aligned.sortedByCoord.out.bam","P1_E15B_193_E","Tb_CS5",1
"CME25A7812673Aligned.sortedByCoord.out.bam","P1_E15B_193_H","Tb_CS5",1
"CME25A7812668Aligned.sortedByCoord.out.bam","P1_E15B_193_C","Tb_CS5",1
"CME25A7812667Aligned.sortedByCoord.out.bam","P1_E15B_193_B","Tb_CS5",1
